epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
42,8190.25,0.22887,0.22951,0.17564,0.78109,0,0.99544,0.99565,0.995,0.96215,0.99089,0.99838,0.99488,0.95064,0.27105,0.45301,0.19599,0.82543,0,0.000742625,0.000742625,0.000742625
43,8381.66,0.22244,0.21783,0.17141,0.78417,0,0.99156,1,0.995,0.95613,0.97367,0.99375,0.99281,0.9448,0.27223,0.53133,0.20729,0.82349,0,0.00073025,0.00073025,0.00073025
44,8569.32,0.22163,0.22812,0.17041,0.774,0,0.98924,0.99887,0.995,0.95401,0.97613,0.98687,0.98986,0.94305,0.28825,0.5226,0.21232,0.82731,0,0.000717875,0.000717875,0.000717875
45,8763.77,0.21785,0.21601,0.16907,0.77773,0,0.98302,1,0.995,0.95378,0.97067,0.9875,0.98604,0.9423,0.27491,0.50139,0.20194,0.82024,0,0.0007055,0.0007055,0.0007055
46,8955.36,0.21538,0.22904,0.16828,0.77127,0,0.99531,0.99786,0.995,0.95634,0.98924,0.99486,0.99378,0.9448,0.25144,0.49968,0.19302,0.82125,0,0.000693125,0.000693125,0.000693125
47,9150.63,0.19772,0.22107,0.16217,0.77839,0,0.99182,1,0.995,0.95795,0.96723,0.99938,0.99282,0.94148,0.26241,0.51384,0.19073,0.82625,0,0.00068075,0.00068075,0.00068075
48,9338.41,0.20352,0.21872,0.16397,0.77107,0,0.99315,0.998,0.995,0.9548,0.97939,0.9921,0.99392,0.94126,0.26647,0.49969,0.1948,0.82806,0,0.000668375,0.000668375,0.000668375
49,9521.37,0.19437,0.20611,0.15895,0.77634,0,0.99578,1,0.995,0.95565,0.98957,0.99375,0.99476,0.93991,0.26752,0.45322,0.18574,0.82558,0,0.000656,0.000656,0.000656
50,9706.57,0.2023,0.20548,0.1636,0.78256,0,0.99197,1,0.995,0.95748,0.99197,1,0.995,0.94939,0.27118,0.42895,0.19181,0.83016,0,0.000643625,0.000643625,0.000643625
51,9900.12,0.19655,0.19505,0.16199,0.78139,0,0.99222,1,0.995,0.96068,0.99222,1,0.995,0.95233,0.25422,0.44561,0.1833,0.82544,0,0.00063125,0.00063125,0.00063125
52,10085.3,0.19575,0.19849,0.15936,0.77316,0,0.99135,1,0.995,0.96166,0.99108,1,0.99488,0.94561,0.24124,0.4465,0.1844,0.81736,0,0.000618875,0.000618875,0.000618875
53,10276.9,0.19218,0.19518,0.15295,0.7822,0,0.98952,1,0.995,0.96105,0.9852,0.99902,0.99384,0.93774,0.25304,0.49704,0.18505,0.82221,0,0.0006065,0.0006065,0.0006065
54,10466.5,0.19425,0.19987,0.15435,0.77305,0,0.99244,1,0.995,0.95479,0.98198,0.99005,0.99372,0.93755,0.25928,0.52096,0.18777,0.82172,0,0.000594125,0.000594125,0.000594125
