epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,2829.97,0.42678,0.59657,0.89778,0.99638,1,0.995,0.96135,0.2793,0.32798,0.78692,0.000544625,0.000544625,0.000544625
59,2879.93,0.43049,0.62075,0.89687,0.99787,1,0.995,0.95568,0.30659,0.32976,0.79513,0.00053225,0.00053225,0.00053225
60,2928.2,0.40157,0.56438,0.87879,0.99668,1,0.995,0.97164,0.25214,0.32193,0.78521,0.000519875,0.000519875,0.000519875
61,2977.42,0.42603,0.60414,0.88507,0.99487,1,0.995,0.96726,0.2794,0.32648,0.78943,0.0005075,0.0005075,0.0005075
62,3035.62,0.4327,0.61882,0.89199,0.99627,1,0.995,0.96871,0.25377,0.31716,0.78446,0.000495125,0.000495125,0.000495125
63,3101.21,0.42458,0.62662,0.89209,0.99178,1,0.995,0.9389,0.36129,0.33298,0.79947,0.00048275,0.00048275,0.00048275
64,3152.18,0.4161,0.59793,0.88131,0.99591,1,0.995,0.9568,0.29305,0.3165,0.79094,0.000470375,0.000470375,0.000470375
65,3201.33,0.39701,0.60499,0.87838,0.9981,1,0.995,0.95687,0.30236,0.31954,0.79314,0.000458,0.000458,0.000458
66,3249.8,0.40721,0.58892,0.881,0.99852,1,0.995,0.96377,0.28493,0.30507,0.78895,0.000445625,0.000445625,0.000445625
67,3300.36,0.40133,0.60688,0.8869,0.99737,1,0.995,0.97138,0.23693,0.29019,0.78305,0.00043325,0.00043325,0.00043325
68,3352.68,0.40617,0.57944,0.88724,0.99599,1,0.995,0.96493,0.27327,0.2955,0.78594,0.000420875,0.000420875,0.000420875
69,3402.02,0.39887,0.55079,0.8835,0.99638,1,0.995,0.96963,0.24673,0.30115,0.78248,0.0004085,0.0004085,0.0004085
70,3456.45,0.39803,0.55831,0.87212,0.9979,1,0.995,0.96106,0.27542,0.30568,0.79015,0.000396125,0.000396125,0.000396125
71,3504.91,0.3922,0.54163,0.87082,0.99831,1,0.995,0.96939,0.24713,0.28815,0.78376,0.00038375,0.00038375,0.00038375
72,3552.92,0.38557,0.57035,0.89279,0.99832,1,0.995,0.9711,0.2467,0.28848,0.78353,0.000371375,0.000371375,0.000371375
73,3605.72,0.38431,0.54491,0.88818,0.99816,1,0.995,0.96435,0.25655,0.29066,0.78672,0.000359,0.000359,0.000359
74,3661.34,0.37549,0.53884,0.88284,0.99816,1,0.995,0.966,0.24718,0.28403,0.78445,0.000346625,0.000346625,0.000346625
75,3715.46,0.38455,0.58156,0.8862,0.99822,1,0.995,0.96311,0.27267,0.28778,0.78466,0.00033425,0.00033425,0.00033425
76,3768.95,0.38341,0.54873,0.88554,0.99711,1,0.995,0.97487,0.22103,0.2764,0.77727,0.000321875,0.000321875,0.000321875
77,3821.41,0.38903,0.57097,0.87874,0.99567,1,0.995,0.95394,0.29392,0.29997,0.78921,0.0003095,0.0003095,0.0003095
78,3874.72,0.37231,0.54084,0.87735,0.9964,1,0.995,0.96862,0.23714,0.28461,0.78122,0.000297125,0.000297125,0.000297125
79,3926.86,0.3687,0.53896,0.87483,0.99669,1,0.995,0.95604,0.28397,0.29804,0.78917,0.00028475,0.00028475,0.00028475
80,3979.58,0.3852,0.55999,0.88703,0.99582,1,0.995,0.9566,0.27794,0.2921,0.79127,0.000272375,0.000272375,0.000272375
81,4032.54,0.37589,0.57116,0.87054,0.99793,1,0.995,0.96868,0.2282,0.26762,0.77985,0.00026,0.00026,0.00026
82,4086.91,0.36793,0.5369,0.87113,0.99691,1,0.995,0.94441,0.3354,0.29756,0.79507,0.000247625,0.000247625,0.000247625
83,4139.36,0.37251,0.51458,0.86851,0.99773,1,0.995,0.96798,0.23023,0.27076,0.78182,0.00023525,0.00023525,0.00023525
84,4193.42,0.36614,0.52126,0.87005,0.998,1,0.995,0.96743,0.22879,0.26911,0.78066,0.000222875,0.000222875,0.000222875
85,4245.97,0.34862,0.51268,0.87035,0.99823,1,0.995,0.96052,0.27158,0.27593,0.78531,0.0002105,0.0002105,0.0002105
86,4298.44,0.3393,0.48763,0.85998,0.99826,1,0.995,0.97048,0.22168,0.26034,0.78075,0.000198125,0.000198125,0.000198125
87,4350.03,0.33686,0.50775,0.86163,0.99814,1,0.995,0.96309,0.24028,0.26537,0.78494,0.00018575,0.00018575,0.00018575
88,4402.95,0.35903,0.51647,0.87814,0.99797,1,0.995,0.96285,0.24022,0.26338,0.78413,0.000173375,0.000173375,0.000173375
89,4458.33,0.34827,0.48566,0.87861,0.99765,1,0.995,0.96881,0.23454,0.26115,0.78236,0.000161,0.000161,0.000161
90,4510.31,0.34686,0.50886,0.87037,0.99782,1,0.995,0.9543,0.28463,0.2653,0.78918,0.000148625,0.000148625,0.000148625
91,4561.57,0.28638,0.32169,0.78824,0.99812,1,0.995,0.97523,0.20209,0.25972,0.77644,0.00013625,0.00013625,0.00013625
92,4614.23,0.31739,0.33255,0.79076,0.99811,1,0.995,0.97609,0.19378,0.26011,0.77601,0.000123875,0.000123875,0.000123875
93,4665.77,0.26412,0.32228,0.78098,0.997,1,0.995,0.96184,0.26099,0.29034,0.78352,0.0001115,0.0001115,0.0001115
94,4717.26,0.23958,0.30504,0.79248,0.99716,1,0.995,0.97063,0.22975,0.27876,0.77898,9.9125e-05,9.9125e-05,9.9125e-05
95,4769.38,0.22723,0.30244,0.79267,0.99771,1,0.995,0.97463,0.1912,0.26842,0.7742,8.675e-05,8.675e-05,8.675e-05
96,4822.3,0.21407,0.28598,0.7792,0.99783,1,0.995,0.9749,0.20588,0.2695,0.77555,7.4375e-05,7.4375e-05,7.4375e-05
97,4874.39,0.21445,0.28178,0.78592,0.99801,1,0.995,0.97553,0.20845,0.26462,0.77608,6.2e-05,6.2e-05,6.2e-05
98,4925.36,0.21684,0.28799,0.77861,0.99802,1,0.995,0.97548,0.19742,0.25824,0.77515,4.9625e-05,4.9625e-05,4.9625e-05
99,4976.14,0.2079,0.27664,0.78217,0.99808,1,0.995,0.97555,0.20537,0.26114,0.77631,3.725e-05,3.725e-05,3.725e-05
100,5030.05,0.20989,0.28078,0.78746,0.99809,1,0.995,0.97401,0.20891,0.26286,0.77666,2.4875e-05,2.4875e-05,2.4875e-05
