epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,6099.4,0.1389,0.53609,0.76225,0.99845,1,0.995,0.98814,0.15684,0.54555,0.71234,0.00026,0.00026,0.00026
66,6227.37,0.13911,0.5253,0.76584,0.99856,1,0.995,0.97802,0.1759,0.53819,0.71573,0.000244531,0.000244531,0.000244531
67,6349.1,0.14273,0.52534,0.7639,0.99858,1,0.995,0.98562,0.16052,0.53681,0.71292,0.000229063,0.000229063,0.000229063
68,6474.42,0.13644,0.51552,0.7628,0.99852,1,0.995,0.98121,0.15741,0.51134,0.71297,0.000213594,0.000213594,0.000213594
69,6589.84,0.13385,0.50756,0.76023,0.99845,1,0.995,0.98354,0.15717,0.51577,0.71269,0.000198125,0.000198125,0.000198125
70,6707.42,0.13062,0.49954,0.7656,0.99849,1,0.995,0.97943,0.16047,0.52229,0.71407,0.000182656,0.000182656,0.000182656
71,6820.3,0.13145,0.50247,0.7627,0.99847,1,0.995,0.97988,0.15024,0.51139,0.71226,0.000167188,0.000167188,0.000167188
72,6933.17,0.12948,0.49882,0.75518,0.99847,1,0.995,0.98249,0.14806,0.49128,0.71212,0.000151719,0.000151719,0.000151719
73,7047.59,0.12578,0.47675,0.75801,0.99848,1,0.995,0.98443,0.14525,0.48884,0.71247,0.00013625,0.00013625,0.00013625
74,7163.73,0.12306,0.47105,0.76125,0.99848,1,0.995,0.98452,0.13994,0.48904,0.71111,0.000120781,0.000120781,0.000120781
75,8385.06,0.12262,0.47066,0.75986,0.99845,1,0.995,0.98238,0.14615,0.49717,0.71233,0.000105312,0.000105312,0.000105312
76,8436.54,0.12151,0.46677,0.75463,0.99846,1,0.995,0.98495,0.14313,0.48742,0.71156,8.98437e-05,8.98437e-05,8.98437e-05
77,8485.11,0.12247,0.47012,0.76985,0.9984,1,0.995,0.98601,0.14132,0.47827,0.71131,7.4375e-05,7.4375e-05,7.4375e-05
78,8534.26,0.12116,0.45711,0.75919,0.99833,1,0.995,0.98467,0.14215,0.46855,0.71203,5.89062e-05,5.89062e-05,5.89062e-05
79,8600.69,0.11717,0.45924,0.7654,0.99831,1,0.995,0.98229,0.14233,0.47268,0.71207,4.34375e-05,4.34375e-05,4.34375e-05
80,8661.1,0.1138,0.45724,0.75758,0.99829,1,0.995,0.98327,0.13861,0.4661,0.71133,2.79687e-05,2.79687e-05,2.79687e-05
